rank,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",,268.00
2,Western Digital,,169.86
3,Newmont,,154.36
4,Seagate Technology,,147.52
5,Micron Technology,,145.89
6,Palantir Technologies,,140.59
7,Lam Research,,99.80
8,Advanced Micro Devices,,99.78
9,Intel,,90.11
10,NRG Energy,,85.13
11,Amphenol,,83.78
12,CVS Health,,83.55
13,KLA Corporation,,83.39
14,GE Aerospace,,82.53
15,Supermicro,,81.06
16,GE Vernova,,80.89
17,Corning Inc.,,80.08
18,"Tapestry, Inc.",,78.14
19,Howmet Aerospace,,76.18
20,Monolithic Power Systems,,74.77
21,AppLovin Corporation,,74.22
22,Warner Bros. Discovery,,73.87
23,Constellation Energy,,65.79
24,Oracle Corporation,,65.78
25,Paramount Skydance Corp,,61.62
26,TE Connectivity,,58.58
27,DoorDash,,57.69
28,Uber,,55.18
29,Idexx Laboratories,,54.97
30,"EMCOR Group, Inc.",,54.78
31,eBay,,54.04
32,Huntington Ingalls Industries,,51.95
33,Interactive Brokers Group,,50.74
34,Broadcom,,50.30
35,CrowdStrike,,47.22
36,Caterpillar Inc.,,46.54
37,Cencora,,46.11
38,HCA Healthcare,,44.53
39,Ralph Lauren Corporation,,43.57
40,Jabil,,42.50
41,United Rentals,,42.43
42,Take-Two Interactive,,42.33
43,BNY Mellon,,41.65
44,Wynn Resorts,,41.22
45,Citigroup,,41.05
46,Welltower,,40.93
47,Vistra Corp.,,40.72
48,Applied Materials,,40.68
49,Dollar General,,40.64
50,Coinbase Global,,39.96
51,Johnson Controls,,39.81
52,Quanta Services,,39.71
53,RTX Corporation,,39.48
54,Netflix,,39.06
55,L3Harris,,38.51
56,McKesson Corporation,,38.31
57,Aptiv,,38.15
58,Estée Lauder Companies (The),,37.44
59,Electronic Arts,,37.14
60,Nvidia,,36.31
61,Allegion,,36.10
62,Alphabet Inc. (Class A),,35.72
63,Alphabet Inc. (Class C),,35.21
64,Hasbro,,34.29
65,Johnson & Johnson,,34.22
66,Marathon Petroleum,,33.75
67,Goldman Sachs,,33.47
68,Gilead Sciences,,33.23
69,Cardinal Health,,33.14
70,Arista Networks,,32.49
71,Dollar Tree,,32.28
72,Leidos,,32.13
73,Monster Beverage,,32.05
74,TKO Group Holdings,,32.02
75,Philip Morris International,,31.40
76,Royal Caribbean Group,,31.16
77,Invesco,,31.10
78,Valero Energy,,30.53
79,AbbVie,,30.43
80,First Solar,,30.05
81,Morgan Stanley,,29.05
82,IBM,,28.99
83,Verisign,,28.91
84,Charles Schwab Corporation,,28.62
85,Dell Technologies,,28.59
86,Northrop Grumman,,28.29
87,Steel Dynamics,,28.29
88,General Dynamics,,28.20
89,Exelon,,28.19
90,Evergy,,27.85
91,American Electric Power,,27.78
92,Atmos Energy,,27.72
93,O'Reilly Auto Parts,,27.67
94,Entergy,,27.48
95,Eversource Energy,,27.36
96,LabCorp,,26.81
97,CenterPoint Energy,,26.68
98,Northern Trust,,26.61
99,Xylem Inc.,,26.54
100,Generac,,26.49
101,JPMorgan Chase,,26.37
102,Quest Diagnostics,,26.24
103,W. R. Berkley Corporation,,25.99
104,WEC Energy Group,,25.20
105,Incyte,,25.06
106,Meta Platforms,,25.04
107,Insulet Corporation,,25.03
108,Archer Daniels Midland,,25.02
109,Bunge Global,,24.65
110,Norfolk Southern Railway,,24.22
111,AutoZone,,23.99
112,Rockwell Automation,,23.67
113,Teledyne Technologies,,23.63
114,C.H. Robinson,,23.48
115,Altria,,23.25
116,Jacobs Solutions,,22.91
117,Boeing,,22.56
118,Microsoft,,22.50
119,Wells Fargo,,22.24
120,EQT Corporation,,21.95
121,CBRE Group,,21.88
122,Martin Marietta Materials,,21.48
123,Live Nation Entertainment,,21.44
124,Cboe Global Markets,,21.28
125,Garmin,,21.27
126,Globe Life,,21.24
127,Ventas,,21.18
128,Ford Motor Company,,21.02
129,"Rollins, Inc.",,20.99
130,Capital One,,20.94
131,Ulta Beauty,,20.49
132,Xcel Energy,,20.37
133,Prologis,,20.35
134,Medtronic,,20.27
135,Fox Corporation (Class A),,20.02
136,3M,,20.02
137,Duke Energy,,19.79
138,NiSource,,19.71
139,Ecolab,,19.62
140,Mosaic Company (The),,19.60
141,Fastenal,,19.38
142,Cisco,,19.33
143,Southern Company,,19.07
144,Cummins,,18.97
145,DTE Energy,,18.93
146,Ameren,,18.85
147,FirstEnergy,,18.77
148,TJX Companies,,18.73
149,ResMed,,18.58
150,Bank of America,,18.42
151,"F5, Inc.",,18.42
152,Walmart,,18.39
153,NextEra Energy,,18.30
154,Steris,,18.03
155,American Express,,17.88
156,State Street Corporation,,17.55
157,Loews Corporation,,17.49
158,Expedia Group,,17.36
159,Microchip Technology,,17.26
160,Nucor,,17.07
161,American Water Works,,16.93
162,Williams Companies,,16.74
163,Palo Alto Networks,,16.62
164,Parker Hannifin,,16.52
165,PPL Corporation,,16.33
166,Amgen,,16.14
167,Alliant Energy,,16.10
168,Analog Devices,,15.89
169,Carnival,,15.81
170,"Nasdaq, Inc.",,15.52
171,Universal Health Services,,15.42
172,CME Group,,15.40
173,Citizens Financial Group,,15.19
174,Vulcan Materials Company,,15.17
175,Axon Enterprise,,15.10
176,Phillips 66,,14.70
177,Abbott Laboratories,,14.58
178,AT&T,,14.39
179,Fox Corporation (Class B),,14.27
180,Dominion Energy,,14.27
181,Consolidated Edison,,14.18
182,Eaton Corporation,,13.96
183,PulteGroup,,13.96
184,CSX Corporation,,13.79
185,BlackRock,,13.57
186,Realty Income,,13.48
187,Hartford (The),,13.32
188,Trane Technologies,,13.25
189,Kroger,,13.14
190,Nordson Corporation,,13.11
191,Genuine Parts Company,,12.95
192,CMS Energy,,12.90
193,Boston Scientific,,12.72
194,Baker Hughes,,12.57
195,AES Corporation,,12.55
196,PTC Inc.,,12.22
197,Albemarle Corporation,,11.85
198,Franklin Resources,,11.56
199,Humana,,11.51
200,Synchrony Financial,,11.42
201,Cigna,,11.35
202,Trimble Inc.,,11.17
203,Teradyne,,11.13
204,Mettler Toledo,,10.97
205,"Tesla, Inc.",,10.76
206,Freeport-McMoRan,,10.65
207,Solventum,,10.50
208,Yum! Brands,,10.22
209,D. R. Horton,,10.19
210,Travelers Companies (The),,10.18
211,Coca-Cola Company (The),,9.98
212,Hershey Company (The),,9.96
213,Pinnacle West,,9.66
214,Cadence Design Systems,,9.55
215,Datadog,,9.48
216,Republic Services,,9.40
217,Deere & Company,,9.16
218,Corteva,,9.09
219,Visa Inc.,,9.08
220,Berkshire Hathaway,,8.97
221,Qualcomm,,8.93
222,Expeditors International,,8.88
223,Pentair,,8.85
224,Crown Castle,,8.65
225,General Motors,,8.48
226,IQVIA,,8.00
227,Cincinnati Financial,,7.86
228,Linde plc,,7.74
229,Textron,,7.72
230,Mohawk Industries,,7.72
231,Mastercard,,7.71
232,Waste Management,,6.96
233,Hewlett Packard Enterprise,,6.95
234,American International Group,,6.90
235,Vici Properties,,6.89
236,Expand Energy,,6.81
237,Chevron Corporation,,6.76
238,NXP Semiconductors,,6.60
239,Agilent Technologies,,6.53
240,Intuit,,6.31
241,McDonald's,,6.28
242,Raymond James Financial,,6.27
243,Stryker Corporation,,6.22
244,DuPont,,6.13
245,Sempra,,5.61
246,Hilton Worldwide,,5.42
247,Willis Towers Watson,,5.36
248,Emerson Electric,,5.35
249,Aflac,,5.30
250,Cintas,,5.26
251,Apple Inc.,,5.25
252,American Tower,,5.22
253,Mondelez International,,5.10
254,ExxonMobil,,4.71
255,Lilly (Eli),,4.65
256,CoStar Group,,4.64
257,Thermo Fisher Scientific,,4.60
258,United Airlines Holdings,,4.59
259,Sysco,,4.38
260,Intercontinental Exchange,,4.24
261,T-Mobile US,,4.23
262,Autodesk,,4.15
263,Ross Stores,,4.09
264,Vertex Pharmaceuticals,,4.09
265,Tractor Supply,,4.07
266,Lockheed Martin,,4.07
267,Ametek,,4.06
268,Public Storage,,4.01
269,Simon Property Group,,3.91
270,Booking Holdings,,3.73
271,Wabtec,,3.69
272,TransDigm Group,,3.29
273,Hubbell Incorporated,,3.28
274,Keysight Technologies,,2.89
275,Kellanova,,2.57
276,Williams-Sonoma,,2.56
277,A. O. Smith,,2.55
278,Regions Financial Corporation,,2.42
279,Southwest Airlines,,2.22
280,Veralto,,2.21
281,Broadridge Financial Solutions,,2.21
282,Principal Financial Group,,2.18
283,Delta Air Lines,,2.17
284,Costco,,1.99
